imgurl,date,playerurl,title,bnumber,issue,assetindex
https://dlcs.io/iiif-img/2/1/476484cf-f5f1-4feb-ae98-12f88984a643/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1924-09-06T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=63&s=0&cv=111,"The chemist and druggist, issue 2328 - 6. September 1924",b19974760,63,111
https://dlcs.io/iiif-img/2/1/8af93823-4839-48b6-8fb6-c1c0abf4c5c0/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1927-01-15T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=184&s=0&cv=55,"The chemist and druggist, issue 2449 - 15. January 1927",b19974760,184,55
https://dlcs.io/iiif-img/2/1/87739653-0dc3-4d25-bf06-ffe1801bd24e/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1927-01-22T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=185&s=0&cv=42,"The chemist and druggist, issue 2450 - 22. January 1927",b19974760,185,42
https://dlcs.io/iiif-img/2/1/4700dab0-b6db-4357-a68d-ebae2fac1600/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1927-10-15T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=223&s=0&cv=55,"The chemist and druggist, issue 2488 - 15. October 1927",b19974760,223,55
https://dlcs.io/iiif-img/2/1/46e47e09-8736-4923-afe1-feec0f168b3a/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1928-09-22T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=272&s=0&cv=49,"The chemist and druggist, issue 2537 - 22. September 1928",b19974760,272,49
https://dlcs.io/iiif-img/2/1/d8b0433b-ab52-4eb7-8da0-3efd5638f699/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1932-02-13T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=435&s=0&cv=52,"The chemist and druggist, issue 2714 - 13. February 1932",b19974760,435,52
https://dlcs.io/iiif-img/2/1/4cd4fede-3a90-4f1b-aa12-57f71926283d/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1932-07-16T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=457&s=0&cv=33,"The chemist and druggist, issue 2736 - 16. July 1932",b19974760,457,33
https://dlcs.io/iiif-img/2/1/725a0f0d-7029-49ee-8867-5a16f3c8deaa/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1933-11-11T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=526&s=0&cv=49,"The chemist and druggist, issue 2805 - 11. November 1933",b19974760,526,49
https://dlcs.io/iiif-img/2/1/1970edf4-bb6d-46db-871c-cf1687364b77/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1933-11-18T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=527&s=0&cv=55,"The chemist and druggist, issue 2806 - 18. November 1933",b19974760,527,55
https://dlcs.io/iiif-img/2/1/be0b08a9-8444-4d5b-b905-93ff2ddffc42/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1934-02-24T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=553&s=0&cv=9,"The chemist and druggist, issue 2820 - 24. February 1934",b19974760,553,9
https://dlcs.io/iiif-img/2/1/e8b6e288-d37b-4aa7-8a02-949a096d2e6c/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1934-03-24T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=557&s=0&cv=10,"The chemist and druggist, issue 2824 - 24. March 1934",b19974760,557,10
https://dlcs.io/iiif-img/2/1/674cf8be-5753-406c-bfb2-2ce00be45df9/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1934-04-28T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=562&s=0&cv=9,"The chemist and druggist, issue 2829 - 28. April 1934",b19974760,562,9
https://dlcs.io/iiif-img/2/1/c3d1c014-ca3a-40c3-9c59-61a0c0f2ce0d/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1934-05-26T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=566&s=0&cv=7,"The chemist and druggist, issue 2833 - 26. May 1934",b19974760,566,7
https://dlcs.io/iiif-img/2/1/a94200f1-08c6-4be0-b2b7-d21313c3f62c/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1934-06-16T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=569&s=0&cv=8,"The chemist and druggist, issue 2836 - 16. June 1934",b19974760,569,8
https://dlcs.io/iiif-img/2/1/feb795ea-269f-418c-ad50-264ae5f83ab1/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1936-01-11T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=625&s=0&cv=8,"The chemist and druggist, issue 2918 - 11. January 1936",b19974760,625,8
https://dlcs.io/iiif-img/2/1/908cfa01-f193-47f1-8479-e60d06305dae/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1936-01-25T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=627&s=0&cv=8,"The chemist and druggist, issue 2920 - 25. January 1936",b19974760,627,8
https://dlcs.io/iiif-img/2/1/52c29b9d-19ad-4945-affb-3503631d3525/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1936-08-08T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=655&s=0&cv=31,"The chemist and druggist, issue 2948 - 8. August 1936",b19974760,655,31
https://dlcs.io/iiif-img/2/1/5e5a93c8-6afb-4b0c-8173-031b80d82eaf/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1936-08-08T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=655&s=0&cv=52,"The chemist and druggist, issue 2948 - 8. August 1936",b19974760,655,52
