imgurl,date,playerurl,title,bnumber,issue,assetindex
https://dlcs.io/iiif-img/2/1/e1655422-a350-46bd-bcb3-828b6ef5090b/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1859-09-15T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=0&s=0&cv=82,The chemist and druggist.,b19974760,0,82
https://dlcs.io/iiif-img/2/1/df91c364-1a6f-40a9-93ee-9fbe915c0965/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1924-04-12T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=42&s=0&cv=91,"The chemist and druggist, issue 2307 - 12. April 1924",b19974760,42,91
https://dlcs.io/iiif-img/2/1/70e022c5-c966-4cc5-b28b-02941cd966e2/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1924-04-26T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=44&s=0&cv=88,"The chemist and druggist, issue 2309 - 26. April 1924",b19974760,44,88
https://dlcs.io/iiif-img/2/1/633fef94-915c-43e6-b5e2-caa505d8acae/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1924-06-28T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=53&s=0&cv=327,"The chemist and druggist, issue 2318 - 28. June 1924",b19974760,53,327
https://dlcs.io/iiif-img/2/1/da600c3f-a52c-4a22-b071-bfbd2151e93f/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1924-08-02T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=58&s=0&cv=32,"The chemist and druggist, issue 2323 - 2. August 1924",b19974760,58,32
https://dlcs.io/iiif-img/2/1/31a79718-376b-4213-b61f-9c2d8497c392/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1924-08-30T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=62&s=0&cv=52,"The chemist and druggist, issue 2327 - 30. August 1924",b19974760,62,52
https://dlcs.io/iiif-img/2/1/476484cf-f5f1-4feb-ae98-12f88984a643/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1924-09-06T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=63&s=0&cv=111,"The chemist and druggist, issue 2328 - 6. September 1924",b19974760,63,111
https://dlcs.io/iiif-img/2/1/0674df2b-265d-4341-8cc2-151775abdd1c/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1924-09-20T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=65&s=0&cv=78,"The chemist and druggist, issue 2330 - 20. September 1924",b19974760,65,78
https://dlcs.io/iiif-img/2/1/64ded600-b3fa-4712-bbc4-62bd30d194ff/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1924-10-11T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=68&s=0&cv=50,"The chemist and druggist, issue 2333 - 11. October 1924",b19974760,68,50
https://dlcs.io/iiif-img/2/1/08f50618-cdb8-488d-af03-c54ec6711e68/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1924-11-22T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=74&s=0&cv=3,"The chemist and druggist, issue 2339 - 22. November 1924",b19974760,74,3
https://dlcs.io/iiif-img/2/1/d76643b9-6dfb-4771-8bb1-12f571f2dc3e/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1924-11-22T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=74&s=0&cv=9,"The chemist and druggist, issue 2339 - 22. November 1924",b19974760,74,9
https://dlcs.io/iiif-img/2/1/23ae399e-33ee-423a-be94-64cf93c84120/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1924-12-13T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=77&s=0&cv=59,"The chemist and druggist, issue 2342 - 13. December 1924",b19974760,77,59
https://dlcs.io/iiif-img/2/1/30ece206-0bad-47e5-b715-c1c5ef300f02/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1924-12-27T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=79&s=0&cv=3,"The chemist and druggist, issue 2344 - 27. December 1924",b19974760,79,3
https://dlcs.io/iiif-img/2/1/9a481978-ba9b-4760-af91-d77af35d63e2/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1924-12-27T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=79&s=0&cv=9,"The chemist and druggist, issue 2344 - 27. December 1924",b19974760,79,9
https://dlcs.io/iiif-img/2/1/fc290605-5701-4809-9010-fb1bab55f1fa/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1925-07-04T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=106&s=0&cv=119,"The chemist and druggist, issue 2371 - 4. July 1925",b19974760,106,119
https://dlcs.io/iiif-img/2/1/19f8acec-ded8-42ba-97f7-d0f4d78798ab/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1925-07-11T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=107&s=0&cv=105,"The chemist and druggist, issue 2372 - 11. July 1925",b19974760,107,105
https://dlcs.io/iiif-img/2/1/1b65a517-e37c-4b4c-9545-87dfb205d7a2/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1925-11-28T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=127&s=0&cv=71,"The chemist and druggist, issue 2392 - 28. November 1925",b19974760,127,71
https://dlcs.io/iiif-img/2/1/e64a46d4-e6e3-414b-bf7e-b8e6eb3e72fe/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1925-12-05T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=128&s=0&cv=65,"The chemist and druggist, issue 2393 - 5. December 1925",b19974760,128,65
https://dlcs.io/iiif-img/2/1/bce3ea65-bdfd-46ab-88e2-93b8df6a3eb9/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1926-06-12T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=153&s=0&cv=85,"The chemist and druggist, issue 2418 - 12. June 1926",b19974760,153,85
https://dlcs.io/iiif-img/2/1/040c852f-272c-4f64-897a-7927781d39ea/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1926-07-17T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=158&s=0&cv=55,"The chemist and druggist, issue 2423 - 17. July 1926",b19974760,158,55
https://dlcs.io/iiif-img/2/1/99efcae3-5411-4290-9821-045eb3747da5/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1926-09-04T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=165&s=0&cv=45,"The chemist and druggist, issue 2430 - 4. September 1926",b19974760,165,45
https://dlcs.io/iiif-img/2/1/93edd559-634f-4ffa-bbfd-a26ca80a18be/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1926-10-30T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=173&s=0&cv=76,"The chemist and druggist, issue 2438 - 30. October 1926",b19974760,173,76
